         ps       /tb_rv32im_soc/DUT/pc  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_we_o                /tb_rv32im_soc/DUT/U_SDRAM/state  /tb_rv32im_soc/sdram_addr                         
          delta         /tb_rv32im_soc/DUT/instr  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_adr_o               /tb_rv32im_soc/sdram_cs_n       /tb_rv32im_soc/sdram_dq                    
           /tb_rv32im_soc/DUT/U_CPU/bus_stall_wire         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_o       /tb_rv32im_soc/sdram_ras_n                                                
          /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_cyc_o         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_ack_i       /tb_rv32im_soc/sdram_cas_n                                              
            /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_stb_o                /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_i  /tb_rv32im_soc/sdram_we_n                                           
          0  +0            32'hXXXXXXXX ******** U U U                           U ********* ******** U ********      ST_BOOT_WAIT U U U  U           12'hXXX **** 
          0  +1            32'hXXXXXXXX ******** U 0 0                           U ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
          0  +2            32'h00000000 ******** U 0 0                           U ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
          0  +3            32'h00000000 ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
     110000  +4            32'h00000004 ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
     110000  +5            32'h00000004 ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
     130000  +4            32'h00000008 ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
     130000  +5            32'h00000008 ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
     150000  +4            32'h0000000C ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
     150000  +5            32'h0000000C ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
     170000  +4            32'h00000010 ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_WAIT 0 1 1  1           12'h000 **** 
